"model","FH","sMAPE","RRMSE","R2"
"brnn","Three-steps",0.140090689440369,0.177098821436958,0.0132193189452192
"cubist","Three-steps",0.0358657238822019,0.0455992310426274,0.608535287778056
"knn","Three-steps",0.0417944783726432,0.0531302460823505,0.669939659031401
"qrf","Three-steps",0.0399606969536534,0.0517393849829231,0.698947027908106
"svmRadial","Three-steps",0.0519708227179204,0.071078419909929,0.41304753673786
"brnn","Six-steps",0.122016771914494,0.155702395677145,0.00961269478539805
"cubist","Six-steps",0.078687499809063,0.0872705030966593,0.160438835656231
"knn","Six-steps",0.0428136393137323,0.0537305561101098,0.677995607487392
"qrf","Six-steps",0.0432363517216812,0.0527539934590077,0.752840841270401
"svmRadial","Six-steps",0.0543186136468815,0.0739580014182747,0.315145494658527
"brnn","Twelve-steps",0.117925529433095,0.148418152760742,0.00807978826045569
"cubist","Twelve-steps",0.0822441326385361,0.101499937860518,0.31334964556186
"knn","Twelve-steps",0.0434812101406833,0.0543233753835352,0.675689047833618
"qrf","Twelve-steps",0.0438296680755662,0.0539968169122337,0.735560517297321
"svmRadial","Twelve-steps",0.0542605021852907,0.0739364668741905,0.319806258090579
