"model","FH","sMAPE","RRMSE","R2"
"brnn","Three-steps",0.220250843537022,0.219628553936666,0.0301872192153657
"cubist","Three-steps",0.166973415936672,0.175989894553949,0.00712727010790745
"knn","Three-steps",0.218419309704248,0.214985109564085,0.0368235126817431
"qrf","Three-steps",0.216610923343684,0.208864576114155,0.0390630716027814
"svmRadial","Three-steps",0.232189425283708,0.220066503331272,0.00772856305695616
"brnn","Six-steps",0.204671124828413,0.209432524089231,0.0696000524723455
"cubist","Six-steps",0.166973415936672,0.175989894553949,0.00712727010790745
"knn","Six-steps",0.230806511037476,0.224212088154098,0.0175801189495886
"qrf","Six-steps",0.226918562955425,0.217393262296124,0.0173648241411237
"svmRadial","Six-steps",0.236076419215609,0.222549414547763,0.00194211101592884
"brnn","Twelve-steps",0.199385116676966,0.20558854480886,0.0318381939024475
"cubist","Twelve-steps",0.166973415936672,0.175989894553949,0.00712727010790745
"knn","Twelve-steps",0.238627468743785,0.22889820204073,0.0310705589568625
"qrf","Twelve-steps",0.228543202744048,0.218498437544626,0.00426861938128718
"svmRadial","Twelve-steps",0.236288238642865,0.222764801342576,0.00309633413549267
