"model","FH","sMAPE","RRMSE","R2"
"brnn","Three-steps",0.0738657848049227,0.0863339172230998,0.369121993438733
"cubist","Three-steps",0.0585508796269514,0.0735078295526995,0.40703697619886
"knn","Three-steps",0.187069997464535,0.198720987730756,0.0334465664924367
"qrf","Three-steps",0.113619182307187,0.124464758764295,0.0351305280252783
"svmRadial","Three-steps",0.181315317500278,0.180834294968575,0.0168369883437259
"brnn","Six-steps",0.11509143740049,0.130682612316747,2.2939582352377e-07
"cubist","Six-steps",0.0656989487368525,0.0870252744575711,0.133188745677298
"knn","Six-steps",0.21113157873217,0.220744808754193,0.033590942615289
"qrf","Six-steps",0.123173037419829,0.141225262503808,0.0337468054656069
"svmRadial","Six-steps",0.184588345854895,0.184448578853649,0.00495859796549347
"brnn","Twelve-steps",0.15352208452576,0.176509678519688,0.0935831277048022
"cubist","Twelve-steps",0.0778579131626268,0.105334591954384,0.000776577398081268
"knn","Twelve-steps",0.219074143810005,0.228377478558983,0.0717194547501029
"qrf","Twelve-steps",0.135893687335607,0.148377000888474,0.0672408071062776
"svmRadial","Twelve-steps",0.187551493226578,0.187233551898892,1.91968436310438e-05
