"model","FH","sMAPE","RRMSE","R2"
"brnn","ODA",0.0262814375383719,0.0317719021627268,0.634145139127042
"cubist","ODA",0.027312055813619,0.0333198458238792,0.606341202150748
"knn","ODA",0.0517492153671787,0.0614404349297079,0.608896281284147
"qrf","ODA",0.0338623781125345,0.0410438605620827,0.721760314783668
"svmRadial","ODA",0.077141906734416,0.0895268561433463,0.513476042261513
"brnn","TDA",0.0299232221741483,0.0367450467061072,0.621898729587555
"cubist","TDA",0.0335821764530011,0.0445716676725193,0.532797947958293
"knn","TDA",0.0593009567270336,0.0691877498446199,0.885693252859121
"qrf","TDA",0.0384961344831922,0.0416407051293212,0.534551015214467
"svmRadial","TDA",0.0868912086453477,0.0998260323472371,0.734935188313728
"brnn","SDA",0.0302667964012882,0.0367414503571339,0.62403049882483
"cubist","SDA",0.0388473736109423,0.0555615373190304,0.554097654554235
"knn","SDA",0.0675639300592718,0.0802446063606209,0.576852487942634
"qrf","SDA",0.0739990389024113,0.0878379185155606,0.0827483639030267
"svmRadial","SDA",0.0900168920250727,0.104061214877977,0.58559675185777
