"model","FH","sMAPE","RRMSE","R2"
"brnn","Three-steps",0.128946561286942,0.171654521741518,0.134658778816012
"cubist","Three-steps",0.110795034187539,0.143841164680104,0.133732208844504
"knn","Three-steps",0.123609523228842,0.155687500454019,0.0274558541985179
"qrf","Three-steps",0.101700984442831,0.12573207701627,0.360771361573706
"svmRadial","Three-steps",0.0918382992049254,0.108362997796451,0.476655724808005
"brnn","Six-steps",0.132185643107872,0.175542124426987,0.135691028457198
"cubist","Six-steps",0.110795034187539,0.143841164680104,0.133732208844504
"knn","Six-steps",0.153581100981725,0.199135021745893,0.112503224118246
"qrf","Six-steps",0.113981660465652,0.148030991518163,0.210394521809155
"svmRadial","Six-steps",0.0921230201959633,0.109996414511331,0.485514801506203
"brnn","Twelve-steps",0.133367311852318,0.178463420396267,0.134955940439839
"cubist","Twelve-steps",0.110795034187539,0.143841164680104,0.133732208844504
"knn","Twelve-steps",0.172335906212877,0.219175923741065,0.0980156340718722
"qrf","Twelve-steps",0.122731809557565,0.155932275929362,0.210807404274144
"svmRadial","Twelve-steps",0.0925320382421195,0.110163612244868,0.488468908942495
