"model","FH","sMAPE","RRMSE","R2"
"brnn","Three-steps",0.0351481694612177,0.0448238131973238,0.526520587023253
"cubist","Three-steps",0.0337536248704801,0.0441305017941844,0.479843070184749
"knn","Three-steps",0.0976151253762921,0.113566217268291,0.166144118781271
"qrf","Three-steps",0.0606774608930044,0.0700601744477807,0.28795244023532
"svmRadial","Three-steps",0.178393698998885,0.205565303080124,0.352213894695593
"brnn","Six-steps",0.0747053610889741,0.0915387998369368,0.172424325485214
"cubist","Six-steps",0.0687930788427891,0.0886036994503092,0.147044075087397
"knn","Six-steps",0.122321616890109,0.144436515517526,0.0426176510289797
"qrf","Six-steps",0.0706262899555621,0.0825431911130227,0.255440771727971
"svmRadial","Six-steps",0.225938769123273,0.269523215837168,0.0111298151481013
"brnn","Twelve-steps",0.101401768917044,0.124179744213313,0.0498415302645673
"cubist","Twelve-steps",0.0951915498479004,0.124211513683194,0.0318732530357297
"knn","Twelve-steps",0.181497347316265,0.233495804453635,0.00349453189550557
"qrf","Twelve-steps",0.0803387347413589,0.0949124897494025,0.0595365593760344
"svmRadial","Twelve-steps",0.257583854892487,0.312054034016313,0.00400334921588618
