"model","FH","sMAPE","RRMSE","R2"
"brnn","Three-steps",0.174642623895821,0.224960906528418,0.111706816651754
"cubist","Three-steps",0.0532154906373923,0.0662996317989512,0.0816311125802789
"knn","Three-steps",0.103775386293157,0.128961431405968,0.152538219588018
"qrf","Three-steps",0.0449722306051061,0.057633263135602,0.129256307131819
"svmRadial","Three-steps",0.199225374387835,0.234678279906942,0.15306197942813
"brnn","Six-steps",0.143101280328623,0.181346234453525,0.0778859518555935
"cubist","Six-steps",0.053771374738752,0.0654289181704069,0.0727146373211351
"knn","Six-steps",0.154411294528511,0.198116205393398,0.0398134181499087
"qrf","Six-steps",0.041782418021241,0.0556967277383506,0.160262779394261
"svmRadial","Six-steps",0.196838019643273,0.231948223981787,0.132817773393891
"brnn","Twelve-steps",0.141909233778888,0.180506783432689,0.0801660484467112
"cubist","Twelve-steps",0.0572056990331894,0.0691418601486392,0.0368320865673972
"knn","Twelve-steps",0.150000721335595,0.19210796393981,0.0489304961022217
"qrf","Twelve-steps",0.041204824413218,0.0552049395864093,0.172283823833457
"svmRadial","Twelve-steps",0.186655809796749,0.220700475730004,0.12424126738449
