"model","FH","sMAPE","RRMSE","R2"
"brnn","Three-steps",0.0481383455282556,0.055093042860008,0.836176953820244
"cubist","Three-steps",0.0450704455871102,0.0534404927845688,0.842784142340368
"knn","Three-steps",0.0816441790003191,0.092659655610641,0.571160703997444
"qrf","Three-steps",0.0614185112562273,0.0767280647944339,0.738699933398793
"svmRadial","Three-steps",0.0659492738246582,0.0878150219737587,0.776599501478294
"brnn","Six-steps",0.0689251953136779,0.0806774886792015,0.671291492429818
"cubist","Six-steps",0.0639071098805963,0.0750617140564726,0.695268527867551
"knn","Six-steps",0.0980977140773104,0.118018116609554,0.285912022699122
"qrf","Six-steps",0.0862752233843017,0.112283854213649,0.643507177462792
"svmRadial","Six-steps",0.10209176296571,0.12721740042171,0.543538993796794
"brnn","Twelve-steps",0.103230586202795,0.125990440131127,0.438252401459175
"cubist","Twelve-steps",0.075883807300825,0.0919827937266035,0.592006534143313
"knn","Twelve-steps",0.10770695489073,0.130992674631384,0.186615989634053
"qrf","Twelve-steps",0.102051624610173,0.128250024281159,0.588777739501853
"svmRadial","Twelve-steps",0.107868474150959,0.131884400257749,0.481958355589183
